"","sample","phi","bed","thick","facies","sub","color"
"1","PR004",1,"B1",1.3,"Sti","Cpd","tan1"
"2","PR004",1,"B2",0.4,"St","Cpd","tan1"
"3","PR004",1,"B3",0.25,"Sl","Cpd","tan1"
"4","PR004",1,"B4",0.1,"St","Cpd","tan1"
"5","PR004",1,"B5",0.1,"St","Cpd","tan1"
"6","PR004",1,"B6",0.1,"St","Cpd","tan1"
"7","PR004",1,"B7",0.9,"Sp","Cpsb","tan2"
"8","PR004",-12,"B8",0.5,"COVERED","covered","black"
"9","PR004",1,"B9",1.1,"Sti","Cpd","tan1"
"10","PR004",-6,"B10",0.05,"Gm","Cpcb","tan3"
"11","PR004",1,"B11",0.2,"St","Cpcb","tan3"
"12","PR004",1,"B12",0.2,"St","Cpcb","tan3"
"13","PR004",1,"B13",0.2,"St","Cpcb","tan3"
"14","PR004",1,"B14",0.2,"St","Cpcb","tan3"
"15","PR004",1,"B15",0.2,"St","Cpcb","tan3"
"16","PR004",1,"B16",0.2,"St","Cpcb","tan3"
"17","PR004",1,"B17",0.1,"St","Cpcb","tan3"
"18","PR004",-6,"B18",0.05,"Gm","Cpd","tan1"
"19","PR004",0,"B19",0.3,"St","Cpd","tan1"
"20","PR004",0,"B20",0.3,"St","Cpd","tan1"
"21","PR004",0,"B21",0.3,"St","Cpd","tan1"
"22","PR004",0,"B22",0.2,"St","Cpd","tan1"
"23","PR004",0,"B23",0.2,"St","Cpd","tan1"
"24","PR004",0,"B24",0.5,"S","Cpd","tan1"
"25","PR004",0,"B25",0.4,"St","Cpd","tan1"
"26","PR004",0,"B26",1.65,"S","Cpd","tan1"
"27","PR004",-2,"B27",0.05,"Gm","Cpd","tan1"
"28","PR004",0,"B28",0.3,"Sp","Cpd","tan1"
"29","PR004",0,"B29",0.1,"Sl","Cpd","tan1"
"30","PR004",0,"B30",0.3,"Sp","Cpd","tan1"
"31","PR004",0,"B31",0.25,"Sl","Cpd","tan1"
"32","PR004",0,"B32",0.3,"Sp","Cpd","tan1"
"33","PR004",0,"B33",0.4,"Sl","Cpd","tan1"
"34","PR005",1,"B1",0.8,"Sp","Cpsb","tan2"
"35","PR005",-6,"B2",0.2,"Gm","Cpd","tan1"
"36","PR005",0,"B3",0.15,"St","Cpd","tan1"
"37","PR005",0,"B4",0.15,"St","Cpd","tan1"
"38","PR005",2,"B5",0.3,"St","Cpd","tan1"
"39","PR005",-8,"B6",0.1,"Gm","Cpd","tan1"
"40","PR005",0,"B7",0.4,"St","Cpd","tan1"
"41","PR005",-6,"B8",0.05,"Gm","Cpcb","tan3"
"42","PR005",1,"B9",0.2,"St","Cpcb","tan3"
"43","PR005",1,"B10",0.2,"St","Cpcb","tan3"
"44","PR005",1,"B11",0.2,"St","Cpcb","tan3"
"45","PR005",1,"B12",0.2,"St","Cpcb","tan3"
"46","PR005",1,"B13",0.2,"St","Cpcb","tan3"
"47","PR005",2,"B14",0.25,"Sp","Cpcb","tan3"
"48","PR005",2,"B15",0.25,"Sp","Cpcb","tan3"
"49","PR005",2,"B16",0.25,"Sp","Cpcb","tan3"
"50","PR005",2,"B17",0.25,"Sp","Cpcb","tan3"
